time  (s)	size (kb)	%mem	%cpu
60	11819864	1	34.5
120	11822876	1.1	47.4
180	11946076	1.2	55.8
240	12047864	1.3	61.9
300	12050036	1.4	66.6
360	12191628	1.5	70.2
420	12201052	1.5	72.6
481	12201212	1.5	74
541	12201708	1.5	75.3
601	12201708	1.5	75.7
661	12201708	1.5	77.3
722	12201708	1.5	78.5
782	12201708	1.5	79.7
842	12201708	1.5	79.9
902	12201708	1.5	80.4
962	12201708	1.5	81.3
1023	12201708	1.5	81.9
1083	12201708	1.5	82.5
1143	12201708	1.5	82.9
1203	12201708	1.5	83.6
1264	12201708	1.5	84.2
1324	12201708	1.5	84.9
1385	12201708	1.5	85.4
1445	12201708	1.5	85.8
1505	12201708	1.5	86.2
1566	12363980	1.5	85.6
1626	12482172	1.5	86
1686	12482172	1.5	86.4
1746	12482172	1.5	86.5
1807	12482172	1.5	86.7
1867	12482172	1.5	86.9
1927	12482172	1.5	87.1
1988	12482172	1.5	87.3
2048	12482172	1.5	87.4
2108	12482172	1.5	87.7
2168	13113412	1.6	87.9
2228	13125268	1.6	87
2289	13199092	1.6	86.5
2349	13202656	1.6	85.6
2409	13202656	1.6	85.9
2469	13202656	1.6	86.1
2529	13202656	1.6	86
2589	13202656	1.6	86.2
2649	13202656	1.6	86.2
2709	13327184	1.6	86.3
2769	13327184	1.6	86.6
2829	13327184	1.6	86.8
2889	13327184	1.6	87
2950	13327184	1.6	87.3
3010	13327184	1.6	87.5
3070	13327184	1.6	87.7
3130	13327184	1.6	87.9
3190	13327184	1.6	88.1
3250	13327184	1.6	88.3
3310	13327184	1.6	88.5
3370	13327184	1.6	88.7
3430	13327184	1.6	88.9
3490	13327184	1.6	89.1
3550	13327184	1.6	89.2
3610	13327184	1.6	89.3
3671	13327184	1.6	89.5
3731	13327184	1.6	89.7
3791	13327184	1.6	89.8
3851	13327184	1.6	90
3911	13327184	1.6	90.1
3971	13327184	1.6	90.2
4031	13327184	1.6	90.4
4091	13327184	1.6	90.5
4151	13327184	1.6	90.6
4211	13327184	1.6	90.7
4271	13327184	1.6	90.9
4331	13327184	1.6	91
4391	13327184	1.6	91.1
4451	13327184	1.6	91.2
4511	13327184	1.6	91.3
4572	13327184	1.6	91.4
4632	13327184	1.6	91.5
4692	13327184	1.6	91.6
4752	13327184	1.6	91.7
4812	13327184	1.6	91.8
4872	13327184	1.6	91.9
4932	13327184	1.6	92
4992	13327184	1.6	92.1
5052	13327184	1.6	92.2
5112	13327184	1.6	92.2
5172	13327184	1.6	92.3
5233	13377508	1.6	92.3
5293	13378588	1.6	92.4
5353	13388784	1.6	92.5
5413	13454460	1.6	92.5
5474	13464652	1.6	92.4
5534	13464652	1.6	92.4
5594	13464652	1.6	92.3
5654	13464652	1.6	92.2
5714	13464652	1.6	92.1
5774	13464652	1.6	92.1
5835	13464652	1.6	92
5895	13464652	1.6	91.9
5955	13464652	1.6	91.9
6015	13464652	1.6	91.9
6075	13464652	1.6	91.9
6136	13464652	1.6	91.8
6196	13464652	1.6	91.9
6256	13464652	1.6	91.9
6317	13464652	1.6	92
6377	13464652	1.6	92
6437	13464652	1.6	92.1
6497	13464652	1.6	92.2
6558	13464652	1.6	92.2
6618	13464652	1.6	92.3
6678	13464652	1.6	92.3
6739	13464652	1.6	92.4
6799	13464652	1.6	92.4
6860	13464652	1.6	92.5
6920	13464652	1.6	92.6
6980	13464652	1.6	92.6
7041	13464652	1.6	92.6
7101	13496116	1.6	92.6
7161	13496116	1.6	92.6
7222	13496116	1.6	92.7
7282	13496116	1.6	92.7
7342	13496116	1.6	92.7
7403	13496116	1.6	92.8
7463	13496116	1.6	92.8
7523	13496116	1.6	92.9
7584	13503060	1.6	92.9
7644	13503060	1.6	92.8
7704	13503060	1.6	92.6
7764	13503060	1.6	92.4
7824	13503060	1.6	92.4
7884	13503060	1.6	92.5
7944	13503060	1.6	92.5
8004	13503060	1.6	92.5
8064	13503060	1.6	92.4
8124	13503060	1.6	92.5
8184	13503060	1.6	92.5
8245	13503060	1.6	92.6
8305	13503060	1.6	92.6
8365	13503060	1.6	92.6
8425	13503060	1.6	92.7
8485	13503060	1.6	92.7
8545	13503060	1.6	92.8
8605	13503060	1.6	92.8
8665	13503060	1.6	92.8
8725	13503060	1.6	92.9
8785	13503060	1.6	92.9
8845	13503060	1.6	93
8905	13503060	1.6	93
8965	13503060	1.6	93.1
9026	13503060	1.6	93.1
9086	13503060	1.6	93.1
9146	13503060	1.6	93.2
9206	13503060	1.6	93.2
9266	13503060	1.6	93.3
9326	13503060	1.6	93.3
9386	13503060	1.6	93.3
9446	13503060	1.6	93.4
9506	13503060	1.6	93.4
9566	13503060	1.6	93.5
9626	13503060	1.6	93.5
9686	13503060	1.6	93.5
9746	13503060	1.6	93.6
9807	13503060	1.6	93.6
9867	13503060	1.6	93.6
9927	13503060	1.6	93.7
9987	13503060	1.6	93.7
10047	13503060	1.6	93.7
10107	13503060	1.6	93.8
10167	13503060	1.6	93.8
10227	13503060	1.6	93.8
10287	13503060	1.6	93.9
10347	13503060	1.6	93.9
10407	13503060	1.6	93.9
10467	13503060	1.6	94
10527	13503060	1.6	94
10587	13503060	1.6	94
10648	13503060	1.6	94
10708	13503060	1.6	94.1
10768	13503060	1.6	94.1
10828	13507740	1.6	94.1
10888	13507740	1.6	94
10949	13507740	1.6	94
11009	13507740	1.6	93.9
11069	13507740	1.6	93.9
11129	13507740	1.6	93.9
11189	13507740	1.6	93.8
11249	13507740	1.6	93.8
11309	13507740	1.6	93.8
11369	13507740	1.6	93.7
11429	13507740	1.6	93.7
11489	13507740	1.6	93.7
11550	13507740	1.6	93.7
11610	13507740	1.6	93.7
11670	13507740	1.6	93.7
11731	13507740	1.6	93.7
11791	13507740	1.6	93.7
11851	13507740	1.6	93.7
11911	13507740	1.6	93.8
11972	13507740	1.6	93.8
12032	13507740	1.6	93.8
12092	13507740	1.6	93.8
12152	13507740	1.6	93.9
12213	13507740	1.6	93.9
12273	13507740	1.6	93.9
12334	13507740	1.6	94
12394	13507740	1.6	94
12454	13507740	1.6	94
12515	13507740	1.6	94
12575	13507740	1.6	94
12635	13507740	1.6	94
12696	13507740	1.6	94
12756	13507740	1.6	94
12816	13507740	1.6	94.1
12877	13507740	1.6	94.1
12937	13507740	1.6	94.1
12997	13507740	1.6	94.1
13058	13507740	1.6	94.2
13118	13509752	1.6	94.2
13178	13511624	1.6	94.1
13238	13511624	1.6	94
13298	13511624	1.6	93.9
13358	13511624	1.6	93.9
13418	13511624	1.6	94
13479	13511624	1.6	94
13539	13511624	1.6	94
13599	13511624	1.6	93.9
13659	13511624	1.6	94
13719	13511624	1.6	94
13779	13511624	1.6	94
13839	13511624	1.6	94
13899	13511624	1.6	94
13959	13511624	1.6	94
14019	13511624	1.6	94.1
14079	13511624	1.6	94.1
14139	13511624	1.6	94.1
14199	13511624	1.6	94.1
14259	13511624	1.6	94.2
14320	13511624	1.6	94.2
14380	13511624	1.6	94.2
14440	13511624	1.6	94.2
14500	13511624	1.6	94.2
14560	13511624	1.6	94.3
14620	13511624	1.6	94.3
14680	13511624	1.6	94.3
14740	13511624	1.6	94.3
14800	13511624	1.6	94.4
14860	13511624	1.6	94.4
14920	13511624	1.6	94.4
14980	13511624	1.6	94.4
15040	13511624	1.6	94.4
15100	13511624	1.6	94.5
15161	13511624	1.6	94.5
15221	13511624	1.6	94.5
15281	13511624	1.6	94.5
15341	13511624	1.6	94.5
15401	13511624	1.6	94.6
15461	13511624	1.6	94.6
15521	13511624	1.6	94.6
15581	13511624	1.6	94.6
15641	13511624	1.6	94.6
15701	13511624	1.6	94.6
15761	13511624	1.6	94.7
15821	13511624	1.6	94.7
15881	13511624	1.6	94.7
15941	13511624	1.6	94.7
16002	13511624	1.6	94.7
16062	13511624	1.6	94.8
16122	13511624	1.6	94.8
16182	13511624	1.6	94.8
16242	13511624	1.6	94.8
16303	13511624	1.6	94.8
16363	13517864	1.6	94.8
16423	13517864	1.6	94.8
16483	13517864	1.6	94.7
16543	13517864	1.6	94.7
16603	13517864	1.6	94.7
16663	13517864	1.6	94.7
16723	13517864	1.6	94.7
16783	13517864	1.6	94.6
16844	13517864	1.6	94.6
16904	13517864	1.6	94.6
16964	13517864	1.6	94.6
17024	13517864	1.6	94.6
17084	13517864	1.6	94.7
17145	13517864	1.6	94.7
17205	13517864	1.6	94.7
17265	13517864	1.6	94.7
17326	13517864	1.6	94.7
17386	13517864	1.6	94.7
17446	13517864	1.6	94.8
17507	13517864	1.6	94.8
17567	13517864	1.6	94.8
17627	13517864	1.6	94.8
17688	13517864	1.6	94.8
17748	13517864	1.6	94.8
17808	13517864	1.6	94.9
