query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out,query_45_time.out,query_46_time.out,query_47_time.out,query_48_time.out,query_49_time.out,query_50_time.out,query_51_time.out,query_52_time.out,query_53_time.out
524,128,3095,4826,458626,2397,1690,8123,4107,7454,4074,429926,740548,602492,4379,1528,13297,530,340,65407,149,347,3190,710,796,677640,3723,8000,1730,2548,7437,48372,157,903,81629,6992,321,7770,207,256,1045,2243,71,59703,10041,2771,12700,5865,1373,20861,1791415,1762383,1779107
244,144,3596,4256,308604,1345,718,6805,2424,1636,4298,625935,610622,592507,3790,1502,10393,224,262,60702,84,317,1318,269,811,624159,4046,7448,1155,2262,6648,46269,263,768,30242,7018,288,8405,270,290,1018,2230,56,48086,10026,2133,10222,5987,1348,12578,1781787,1747605,1760710
183,294,19242,4106,204816,175,537,2432,791,948,2429,503994,664683,728744,4036,1368,10820,284,196,56318,271,296,1186,230,803,614414,4071,7893,1193,2547,5769,23270,2173,25531,252253,6801,2878,25577,214,603,905,2037,53,155749,9047,2054,4055,6053,1282,8887,2310868,863908,865126
408,109,2971,4215,194737,608,284,2476,730,626,1747,689712,540420,472018,3636,1278,9232,129,64,54406,74,500,1660,256,666,465886,2652,6756,970,1645,4991,23536,40,351,33084,6569,179,8130,95,161,890,1946,27,36022,6586,1395,9346,3307,1202,13157,979558,920692,910985
524,108,2451,4014,193209,306,147,2477,635,556,1749,741811,514660,463460,3151,1340,9557,177,79,53748,112,296,1314,436,690,458090,2393,6858,950,1578,5127,22589,118,405,23769,6360,54,7756,104,318,841,1864,35,30893,6039,1399,6056,3382,1184,11682,965599,920383,923113
