query_15_time.out,query_16_time.out,query_29_time.out
4202,1080,1007
1330,865,950
1320,856,969
1318,858,968
1317,869,971
1330,847,958
1316,853,976
1319,855,973
1331,848,973
1336,854,979


SQ - 16
IQ - 15,29



Query ID	Average Time (ms) Standard Deviation (ms) CV
 query_1        1611.9 863.393010 0.54
 query_2         878.5  67.473328 0.08
 query_3         972.4  14.129402 0.01




category	average_time	std_dev
SSK          1154.27     325.86

#For SQ and IQ values I combined it with pwc
SQ           995.575      849.469437
IQ        58050.86 241939.640606
      
