query_1_time.out,query_2_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out
28444,6766,1385,7286,2819,188,9211,14580,49770,14651
17951,4026,1285,111,2204,84,766,16099,14684,14563
18043,4160,1273,117,2220,145,767,16183,16149,16138
18204,4259,1292,130,2258,109,793,16433,16035,16101
18028,4164,1274,115,2214,170,761,16056,16140,16141
18396,4182,1281,114,2203,124,786,16013,16038,16590
17820,4130,1278,126,2202,115,759,16000,15958,16032
17958,4293,1283,155,2303,184,785,16173,15810,15888
18001,4189,1278,133,2237,97,768,15935,16078,15919
17903,4131,1280,133,2185,119,768,15946,16057,16268
