time  (s)	size (kb)	%mem	%cpu
60	11911680	1.1	39.8
120	12037232	1.2	50.7
180	12138276	1.4	58.3
241	12306828	1.5	63.9
301	12307136	1.5	66.7
361	12307136	1.5	68.2
421	12328200	1.5	70.5
481	12328400	1.5	73
542	12328464	1.5	74.7
602	12337728	1.5	76.3
663	12342272	1.5	78
723	12342284	1.5	79
783	12342392	1.5	79.5
843	12342584	1.5	79.9
903	12342644	1.5	80.1
964	12342852	1.5	80.6
1024	12343376	1.5	80.8
1084	12345024	1.5	80.8
1144	12345284	1.5	81.1
1205	12345284	1.5	81.5
1265	12345504	1.5	82.2
1325	12345648	1.5	82.9
1386	12345648	1.5	83.6
1446	12345664	1.5	83.9
1506	12345664	1.5	84.3
1567	12345664	1.5	84.7
1627	12345664	1.5	85.2
1688	12345704	1.5	85.5
1748	12474252	1.5	85.6
1809	12573468	1.5	86
1869	12573468	1.5	86.3
1929	12573468	1.5	86.2
1990	12573468	1.5	86.4
2050	12573592	1.5	86.5
2111	12573592	1.5	86.2
2171	12573592	1.5	86.4
2231	12573592	1.5	86.5
2291	12573592	1.5	86.5
2351	12573592	1.5	86.4
2412	12573592	1.5	86.4
2472	13451968	1.6	86.5
2532	13460704	1.6	86.2
2592	13520096	1.6	85.9
2652	13559820	1.6	85.9
2712	13559820	1.6	85.6
2772	13559820	1.6	85.7
2832	13559820	1.6	86
2892	13559820	1.6	86.2
2952	13611300	1.6	86.4
3013	13634700	1.6	86.7
3073	13634700	1.6	86.9
3133	13640940	1.6	87.1
3193	13684248	1.6	87.3
3254	13684248	1.6	86.9
3314	13684248	1.6	86.7
3374	13684248	1.6	86.5
3434	13684248	1.6	86.2
3494	13684248	1.6	86.2
3554	13684248	1.6	86.2
3614	13684248	1.6	86.1
3674	13684248	1.6	86.1
3734	13684248	1.6	86.1
3795	13684248	1.6	86.3
3855	13684248	1.6	86.4
3915	13684248	1.6	86.5
3976	13684248	1.6	86.7
4036	13684248	1.6	86.9
4096	13684248	1.6	87
4156	13684248	1.6	87.1
4217	13684248	1.6	87.1
4277	13684248	1.6	87
4337	13684248	1.6	87
4397	13684248	1.6	87
4457	13684248	1.6	87
4518	13684248	1.6	87
4578	13684248	1.6	87.1
4638	13684248	1.6	87.2
4698	13684248	1.6	87.3
4758	13684248	1.6	87.4
4818	13684248	1.6	87.3
4879	13684248	1.6	87.3
4939	13684248	1.6	87.3
4999	13684248	1.6	87.3
5059	13684248	1.6	87.4
5119	13684248	1.6	87.4
5179	13684248	1.6	87.4
5240	13684248	1.6	87.5
5300	13684248	1.6	87.5
5360	13684372	1.6	87.5
5420	13684372	1.6	87.6
5480	13684372	1.6	87.7
5540	13684372	1.6	87.7
5600	13684372	1.6	87.8
5661	13684372	1.6	87.8
5721	13684372	1.6	87.8
5781	13684372	1.6	87.8
5841	13684372	1.6	87.8
5901	13684372	1.6	87.8
5962	13684372	1.6	87.9
6022	13684372	1.6	87.9
6082	13684372	1.6	88
6142	13684372	1.6	88.1
6202	13688620	1.7	88.2
6262	13696300	1.7	88.2
6323	13696300	1.7	88.2
6383	13696300	1.7	88.1
6443	13696300	1.7	88
6503	13696300	1.7	88.1
6563	13696300	1.7	88.2
6623	13696300	1.7	88.3
6684	13696300	1.7	88.4
6744	13696300	1.7	88.5
6804	13696300	1.7	88.6
6865	13700980	1.7	88.6
6925	13700980	1.7	88.6
6985	13700980	1.7	88.6
7045	13700980	1.7	88.5
7105	13700980	1.7	88.5
7165	13700980	1.7	88.6
7225	13717032	1.7	88.6
7285	13717032	1.7	88.6
7346	13717032	1.7	88.6
7406	13717032	1.7	88.7
7466	13717032	1.7	88.6
7526	13717032	1.7	88.7
7586	13717032	1.7	88.8
7647	13717032	1.7	88.9
7707	13717032	1.7	89
7768	13717032	1.7	89
7828	13717032	1.7	89.1
7889	13717032	1.7	89.2
