Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_31.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                frequency
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_713                                                                                  FCFP6_1024_713 number of missing values                                                                                  1083
FCFP6_1024_202                                                                                  FCFP6_1024_202 number of missing values                                                                                  1083
FCFP6_1024_32                                                                                  FCFP6_1024_32 number of missing values                                                                                  1083
FCFP6_1024_330                                                                                  FCFP6_1024_330 data-type                                                                                  1083
FCFP6_1024_320                                                                                  FCFP6_1024_320 data-type                                                                                  1083
FCFP6_1024_514                                                                                  FCFP6_1024_514 number of missing values                                                                                  1083
FCFP6_1024_854                                                                                  FCFP6_1024_854 number of missing values                                                                                  1083
FCFP6_1024_229                                                                                  FCFP6_1024_229 number of missing values                                                                                  1083
FCFP6_1024_904                                                                                  FCFP6_1024_904 number of missing values                                                                                  1083
FCFP6_1024_1002                                                                                  FCFP6_1024_1002 number of missing values                                                                                  1083
FCFP6_1024_803                                                                                  FCFP6_1024_803 data-type                                                                                  1083
FCFP6_1024_247                                                                                  FCFP6_1024_247 data-type                                                                                  1083
FCFP6_1024_532                                                                                  FCFP6_1024_532 number of missing values                                                                                  1083
FCFP6_1024_446                                                                                  FCFP6_1024_446 number of missing values                                                                                  1083
FCFP6_1024_678                                                                                  FCFP6_1024_678 data-type                                                                                  1083
FCFP6_1024_511                                                                                  FCFP6_1024_511 data-type                                                                                  1083
FCFP6_1024_235                                                                                  FCFP6_1024_235 data-type                                                                                  1083
FCFP6_1024_50                                                                                  FCFP6_1024_50 number of missing values                                                                                  1083
FCFP6_1024_127                                                                                  FCFP6_1024_127 data-type                                                                                  1083
FCFP6_1024_129                                                                                  FCFP6_1024_129 data-type                                                                                  1083
FCFP6_1024_447                                                                                  FCFP6_1024_447 data-type                                                                                  1083
FCFP6_1024_67                                                                                  FCFP6_1024_67 data-type                                                                                  1083
FCFP6_1024_589                                                                                  FCFP6_1024_589 number of missing values                                                                                  1083
FCFP6_1024_600                                                                                  FCFP6_1024_600 number of missing values                                                                                  1083
FCFP6_1024_506                                                                                  FCFP6_1024_506 data-type                                                                                  1083
FCFP6_1024_407                                                                                  FCFP6_1024_407 number of missing values                                                                                  1083
FCFP6_1024_7                                                                                  FCFP6_1024_7 number of missing values                                                                                  1083
FCFP6_1024_463                                                                                  FCFP6_1024_463 number of missing values                                                                                  1083
FCFP6_1024_909                                                                                  FCFP6_1024_909 number of missing values                                                                                  1083
FCFP6_1024_194                                                                                  FCFP6_1024_194 number of missing values                                                                                  1083
FCFP6_1024_783                                                                                  FCFP6_1024_783 data-type                                                                                  1083
FCFP6_1024_881                                                                                  FCFP6_1024_881 data-type                                                                                  1083
FCFP6_1024_953                                                                                  FCFP6_1024_953 data-type                                                                                  1083
FCFP6_1024_916                                                                                  FCFP6_1024_916 number of missing values                                                                                  1083
FCFP6_1024_598                                                                                  FCFP6_1024_598 data-type                                                                                  1083
FCFP6_1024_853                                                                                  FCFP6_1024_853 data-type                                                                                  1083
FCFP6_1024_755                                                                                  FCFP6_1024_755 data-type                                                                                  1083
FCFP6_1024_1010                                                                                  FCFP6_1024_1010 number of missing values                                                                                  1083
FCFP6_1024_945                                                                                  FCFP6_1024_945 data-type                                                                                  1083
FCFP6_1024_776                                                                                  FCFP6_1024_776 data-type                                                                                  1083
FCFP6_1024_753                                                                                  FCFP6_1024_753 number of missing values                                                                                  1083
FCFP6_1024_233                                                                                  FCFP6_1024_233 number of missing values                                                                                  1083
FCFP6_1024_99                                                                                  FCFP6_1024_99 number of missing values                                                                                  1083
FCFP6_1024_470                                                                                  FCFP6_1024_470 data-type                                                                                  1083
FCFP6_1024_578                                                                                  FCFP6_1024_578 number of missing values                                                                                  1083
FCFP6_1024_891                                                                                  FCFP6_1024_891 number of missing values                                                                                  1083
FCFP6_1024_39                                                                                  FCFP6_1024_39 number of missing values                                                                                  1083
FCFP6_1024_86                                                                                  FCFP6_1024_86 data-type                                                                                  1083
FCFP6_1024_208                                                                                  FCFP6_1024_208 data-type                                                                                  1083
FCFP6_1024_62                                                                                  FCFP6_1024_62 data-type                                                                                  1083
FCFP6_1024_306                                                                                  FCFP6_1024_306 number of missing values                                                                                  1083
FCFP6_1024_219                                                                                  FCFP6_1024_219 data-type                                                                                  1083
FCFP6_1024_353                                                                                  FCFP6_1024_353 data-type                                                                                  1083
FCFP6_1024_23                                                                                  FCFP6_1024_23 data-type                                                                                  1083
FCFP6_1024_409                                                                                  FCFP6_1024_409 number of missing values                                                                                  1083
FCFP6_1024_119                                                                                  FCFP6_1024_119 data-type                                                                                  1083
FCFP6_1024_924                                                                                  FCFP6_1024_924 number of missing values                                                                                  1083
FCFP6_1024_153                                                                                  FCFP6_1024_153 data-type                                                                                  1083
FCFP6_1024_991                                                                                  FCFP6_1024_991 data-type                                                                                  1083
FCFP6_1024_635                                                                                  FCFP6_1024_635 data-type                                                                                  1083
FCFP6_1024_739                                                                                  FCFP6_1024_739 data-type                                                                                  1083
FCFP6_1024_94                                                                                  FCFP6_1024_94 number of missing values                                                                                  1083
FCFP6_1024_448                                                                                  FCFP6_1024_448 number of missing values                                                                                  1083
FCFP6_1024_90                                                                                  FCFP6_1024_90 number of missing values                                                                                  1083
FCFP6_1024_290                                                                                  FCFP6_1024_290 data-type                                                                                  1083
FCFP6_1024_750                                                                                  FCFP6_1024_750 number of missing values                                                                                  1083
FCFP6_1024_134                                                                                  FCFP6_1024_134 data-type                                                                                  1083
FCFP6_1024_98                                                                                  FCFP6_1024_98 number of missing values                                                                                  1083
FCFP6_1024_393                                                                                  FCFP6_1024_393 number of missing values                                                                                  1083
FCFP6_1024_187                                                                                  FCFP6_1024_187 number of missing values                                                                                  1083
FCFP6_1024_223                                                                                  FCFP6_1024_223 data-type                                                                                  1083
FCFP6_1024_953                                                                                  FCFP6_1024_953 number of missing values                                                                                  1083
FCFP6_1024_198                                                                                  FCFP6_1024_198 data-type                                                                                  1083
FCFP6_1024_104                                                                                  FCFP6_1024_104 data-type                                                                                  1083
FCFP6_1024_11                                                                                  FCFP6_1024_11 data-type                                                                                  1083
FCFP6_1024_483                                                                                  FCFP6_1024_483 data-type                                                                                  1083
FCFP6_1024_268                                                                                  FCFP6_1024_268 number of missing values                                                                                  1083
FCFP6_1024_89                                                                                  FCFP6_1024_89 data-type                                                                                  1083
FCFP6_1024_418                                                                                  FCFP6_1024_418 number of missing values                                                                                  1083
FCFP6_1024_801                                                                                  FCFP6_1024_801 data-type                                                                                  1083
FCFP6_1024_55                                                                                  FCFP6_1024_55 number of missing values                                                                                  1083
FCFP6_1024_403                                                                                  FCFP6_1024_403 data-type                                                                                  1083
FCFP6_1024_824                                                                                  FCFP6_1024_824 number of missing values                                                                                  1083
FCFP6_1024_965                                                                                  FCFP6_1024_965 data-type                                                                                  1083
FCFP6_1024_579                                                                                  FCFP6_1024_579 number of missing values                                                                                  1083
FCFP6_1024_958                                                                                  FCFP6_1024_958 number of missing values                                                                                  1083
FCFP6_1024_396                                                                                  FCFP6_1024_396 number of missing values                                                                                  1083
FCFP6_1024_14                                                                                  FCFP6_1024_14 number of missing values                                                                                  1083
FCFP6_1024_326                                                                                  FCFP6_1024_326 number of missing values                                                                                  1083
FCFP6_1024_80                                                                                  FCFP6_1024_80 data-type                                                                                  1083
FCFP6_1024_267                                                                                  FCFP6_1024_267 number of missing values                                                                                  1083
FCFP6_1024_28                                                                                  FCFP6_1024_28 data-type                                                                                  1083
FCFP6_1024_722                                                                                  FCFP6_1024_722 data-type                                                                                  1083
FCFP6_1024_738                                                                                  FCFP6_1024_738 number of missing values                                                                                  1083
FCFP6_1024_108                                                                                  FCFP6_1024_108 number of missing values                                                                                  1083
FCFP6_1024_112                                                                                  FCFP6_1024_112 data-type                                                                                  1083
FCFP6_1024_318                                                                                  FCFP6_1024_318 number of missing values                                                                                  1083
FCFP6_1024_846                                                                                  FCFP6_1024_846 data-type                                                                                  1083
FCFP6_1024_2                                                                                  FCFP6_1024_2 data-type                                                                                  1083
FCFP6_1024_437                                                                                  FCFP6_1024_437 number of missing values                                                                                  1083
FCFP6_1024_859                                                                                  FCFP6_1024_859 data-type                                                                                  1083
FCFP6_1024_998                                                                                  FCFP6_1024_998 number of missing values                                                                                  1083
FCFP6_1024_340                                                                                  FCFP6_1024_340 data-type                                                                                  1083
FCFP6_1024_47                                                                                  FCFP6_1024_47 data-type                                                                                  1083
FCFP6_1024_568                                                                                  FCFP6_1024_568 data-type                                                                                  1083
FCFP6_1024_448                                                                                  FCFP6_1024_448 data-type                                                                                  1083
FCFP6_1024_665                                                                                  FCFP6_1024_665 number of missing values                                                                                  1083
FCFP6_1024_211                                                                                  FCFP6_1024_211 number of missing values                                                                                  1083
FCFP6_1024_264                                                                                  FCFP6_1024_264 number of missing values                                                                                  1083
FCFP6_1024_831                                                                                  FCFP6_1024_831 data-type                                                                                  1083
FCFP6_1024_792                                                                                  FCFP6_1024_792 data-type                                                                                  1083
FCFP6_1024_700                                                                                  FCFP6_1024_700 data-type                                                                                  1083
FCFP6_1024_999                                                                                  FCFP6_1024_999 number of missing values                                                                                  1083
FCFP6_1024_404                                                                                  FCFP6_1024_404 number of missing values                                                                                  1083
FCFP6_1024_25                                                                                  FCFP6_1024_25 number of missing values                                                                                  1083
FCFP6_1024_230                                                                                  FCFP6_1024_230 data-type                                                                                  1083
FCFP6_1024_830                                                                                  FCFP6_1024_830 number of missing values                                                                                  1083
FCFP6_1024_426                                                                                  FCFP6_1024_426 number of missing values                                                                                  1083
FCFP6_1024_126                                                                                  FCFP6_1024_126 number of missing values                                                                                  1083
FCFP6_1024_370                                                                                  FCFP6_1024_370 data-type                                                                                  1083
FCFP6_1024_827                                                                                  FCFP6_1024_827 number of missing values                                                                                  1083
FCFP6_1024_114                                                                                  FCFP6_1024_114 number of missing values                                                                                  1083
FCFP6_1024_415                                                                                  FCFP6_1024_415 number of missing values                                                                                  1083
FCFP6_1024_215                                                                                  FCFP6_1024_215 data-type                                                                                  1083
FCFP6_1024_495                                                                                  FCFP6_1024_495 data-type                                                                                  1083
FCFP6_1024_855                                                                                  FCFP6_1024_855 number of missing values                                                                                  1083
FCFP6_1024_701                                                                                  FCFP6_1024_701 data-type                                                                                  1083
FCFP6_1024_524                                                                                  FCFP6_1024_524 data-type                                                                                  1083
FCFP6_1024_853                                                                                  FCFP6_1024_853 number of missing values                                                                                  1083
FCFP6_1024_56                                                                                  FCFP6_1024_56 data-type                                                                                  1083
FCFP6_1024_864                                                                                  FCFP6_1024_864 number of missing values                                                                                  1083
FCFP6_1024_509                                                                                  FCFP6_1024_509 data-type                                                                                  1083
FCFP6_1024_756                                                                                  FCFP6_1024_756 data-type                                                                                  1083
FCFP6_1024_145                                                                                  FCFP6_1024_145 number of missing values                                                                                  1083
FCFP6_1024_111                                                                                  FCFP6_1024_111 data-type                                                                                  1083
FCFP6_1024_160                                                                                  FCFP6_1024_160 number of missing values                                                                                  1083
FCFP6_1024_863                                                                                  FCFP6_1024_863 number of missing values                                                                                  1083
FCFP6_1024_663                                                                                  FCFP6_1024_663 data-type                                                                                  1083
FCFP6_1024_838                                                                                  FCFP6_1024_838 data-type                                                                                  1083
FCFP6_1024_590                                                                                  FCFP6_1024_590 data-type                                                                                  1083
FCFP6_1024_908                                                                                  FCFP6_1024_908 number of missing values                                                                                  1083
FCFP6_1024_1004                                                                                  FCFP6_1024_1004 number of missing values                                                                                  1083
FCFP6_1024_399                                                                                  FCFP6_1024_399 data-type                                                                                  1083
FCFP6_1024_816                                                                                  FCFP6_1024_816 data-type                                                                                  1083
FCFP6_1024_592                                                                                  FCFP6_1024_592 data-type                                                                                  1083
FCFP6_1024_457                                                                                  FCFP6_1024_457 number of missing values                                                                                  1083
FCFP6_1024_259                                                                                  FCFP6_1024_259 number of missing values                                                                                  1083
FCFP6_1024_165                                                                                  FCFP6_1024_165 number of missing values                                                                                  1083
FCFP6_1024_897                                                                                  FCFP6_1024_897 data-type                                                                                  1083
FCFP6_1024_408                                                                                  FCFP6_1024_408 number of missing values                                                                                  1083
FCFP6_1024_761                                                                                  FCFP6_1024_761 number of missing values                                                                                  1083
FCFP6_1024_205                                                                                  FCFP6_1024_205 data-type                                                                                  1083
FCFP6_1024_170                                                                                  FCFP6_1024_170 data-type                                                                                  1083
FCFP6_1024_553                                                                                  FCFP6_1024_553 data-type                                                                                  1083
FCFP6_1024_513                                                                                  FCFP6_1024_513 data-type                                                                                  1083
FCFP6_1024_667                                                                                  FCFP6_1024_667 number of missing values                                                                                  1083
FCFP6_1024_36                                                                                  FCFP6_1024_36 data-type                                                                                  1083
FCFP6_1024_906                                                                                  FCFP6_1024_906 data-type                                                                                  1083
FCFP6_1024_314                                                                                  FCFP6_1024_314 number of missing values                                                                                  1083
FCFP6_1024_479                                                                                  FCFP6_1024_479 data-type                                                                                  1083
FCFP6_1024_183                                                                                  FCFP6_1024_183 number of missing values                                                                                  1083
FCFP6_1024_116                                                                                  FCFP6_1024_116 data-type                                                                                  1083
FCFP6_1024_684                                                                                  FCFP6_1024_684 number of missing values                                                                                  1083
FCFP6_1024_190                                                                                  FCFP6_1024_190 data-type                                                                                  1083
FCFP6_1024_238                                                                                  FCFP6_1024_238 number of missing values                                                                                  1083
FCFP6_1024_845                                                                                  FCFP6_1024_845 number of missing values                                                                                  1083
FCFP6_1024_960                                                                                  FCFP6_1024_960 number of missing values                                                                                  1083
FCFP6_1024_937                                                                                  FCFP6_1024_937 data-type                                                                                  1083
FCFP6_1024_291                                                                                  FCFP6_1024_291 number of missing values                                                                                  1083
FCFP6_1024_746                                                                                  FCFP6_1024_746 number of missing values                                                                                  1083
FCFP6_1024_52                                                                                  FCFP6_1024_52 number of missing values                                                                                  1083
FCFP6_1024_922                                                                                  FCFP6_1024_922 data-type                                                                                  1083
FCFP6_1024_54                                                                                  FCFP6_1024_54 data-type                                                                                  1083
FCFP6_1024_758                                                                                  FCFP6_1024_758 data-type                                                                                  1083
FCFP6_1024_758                                                                                  FCFP6_1024_758 number of missing values                                                                                  1083
FCFP6_1024_83                                                                                  FCFP6_1024_83 data-type                                                                                  1083
FCFP6_1024_77                                                                                  FCFP6_1024_77 data-type                                                                                  1083
FCFP6_1024_674                                                                                  FCFP6_1024_674 number of missing values                                                                                  1083
FCFP6_1024_565                                                                                  FCFP6_1024_565 data-type                                                                                  1083
FCFP6_1024_166                                                                                  FCFP6_1024_166 number of missing values                                                                                  1083
FCFP6_1024_424                                                                                  FCFP6_1024_424 data-type                                                                                  1083
FCFP6_1024_192                                                                                  FCFP6_1024_192 number of missing values                                                                                  1083
FCFP6_1024_492                                                                                  FCFP6_1024_492 data-type                                                                                  1083
FCFP6_1024_487                                                                                  FCFP6_1024_487 number of missing values                                                                                  1083
FCFP6_1024_352                                                                                  FCFP6_1024_352 number of missing values                                                                                  1083
FCFP6_1024_552                                                                                  FCFP6_1024_552 number of missing values                                                                                  1083
FCFP6_1024_733                                                                                  FCFP6_1024_733 data-type                                                                                  1083
FCFP6_1024_743                                                                                  FCFP6_1024_743 number of missing values                                                                                  1083
FCFP6_1024_297                                                                                  FCFP6_1024_297 data-type                                                                                  1083
FCFP6_1024_282                                                                                  FCFP6_1024_282 number of missing values                                                                                  1083
FCFP6_1024_825                                                                                  FCFP6_1024_825 data-type                                                                                  1083
FCFP6_1024_59                                                                                  FCFP6_1024_59 number of missing values                                                                                  1083
FCFP6_1024_100                                                                                  FCFP6_1024_100 number of missing values                                                                                  1083
FCFP6_1024_715                                                                                  FCFP6_1024_715 number of missing values                                                                                  1083
FCFP6_1024_609                                                                                  FCFP6_1024_609 data-type                                                                                  1083
FCFP6_1024_745                                                                                  FCFP6_1024_745 number of missing values                                                                                  1083
FCFP6_1024_123                                                                                  FCFP6_1024_123 data-type                                                                                  1083
FCFP6_1024_724                                                                                  FCFP6_1024_724 number of missing values                                                                                  1083
FCFP6_1024_418                                                                                  FCFP6_1024_418 data-type                                                                                  1083
FCFP6_1024_391                                                                                  FCFP6_1024_391 data-type                                                                                  1083
FCFP6_1024_136                                                                                  FCFP6_1024_136 data-type                                                                                  1083
FCFP6_1024_483                                                                                  FCFP6_1024_483 number of missing values                                                                                  1083
FCFP6_1024_275                                                                                  FCFP6_1024_275 data-type                                                                                  1083
FCFP6_1024_0                                                                                  FCFP6_1024_0 data-type                                                                                  1083
FCFP6_1024_768                                                                                  FCFP6_1024_768 number of missing values                                                                                  1083
FCFP6_1024_143                                                                                  FCFP6_1024_143 number of missing values                                                                                  1083
FCFP6_1024_105                                                                                  FCFP6_1024_105 data-type                                                                                  1083
FCFP6_1024_905                                                                                  FCFP6_1024_905 data-type                                                                                  1083
FCFP6_1024_647                                                                                  FCFP6_1024_647 data-type                                                                                  1083
FCFP6_1024_425                                                                                  FCFP6_1024_425 data-type                                                                                  1083
FCFP6_1024_347                                                                                  FCFP6_1024_347 data-type                                                                                  1083
