time  (s)	size (kb)	%mem	%cpu
60	11885700	1	44.8
120	12011556	1.2	55.2
180	12012364	1.3	62.4
240	12115632	1.4	67.6
300	12278092	1.5	71.5
361	12278092	1.5	73.5
421	12278092	1.5	75.2
481	12289596	1.5	76.7
541	12289676	1.5	78.6
601	12317900	1.5	80.2
662	12317900	1.5	81.5
722	12317900	1.5	82.3
782	12317900	1.5	83.3
843	12317900	1.5	84.2
903	12317900	1.5	84.8
964	12317900	1.5	85.4
1024	12317900	1.5	85.9
1085	12317908	1.5	86.5
1145	12318152	1.5	86.8
1205	12318304	1.5	87.2
1265	12318404	1.5	87.7
1326	12318404	1.5	88.2
1386	12318484	1.5	88.6
1447	12318536	1.5	89.1
1507	12318536	1.5	89.4
1568	12318536	1.5	89.8
1628	12318536	1.5	90.1
1688	12318536	1.5	90.4
1749	12318536	1.5	90.7
1809	12318784	1.5	90.9
1869	12494156	1.5	90.9
1930	12520364	1.5	91.1
1990	12520364	1.5	91.3
2050	12520364	1.5	91.5
2111	12520364	1.5	91.7
2171	12520364	1.5	91.9
2231	12520364	1.5	92
2292	12520364	1.5	92.2
2352	12520364	1.5	92.3
2412	12520364	1.5	92.5
2473	13261072	1.6	92.6
2533	13273552	1.6	92.7
2593	13336668	1.6	92.7
2653	13351436	1.6	92.7
2713	13357340	1.6	92.7
2773	13357340	1.6	92.8
2834	13419740	1.6	92.9
2894	13423336	1.6	93.1
2954	13439492	1.6	93.2
3015	13479876	1.6	93.3
3075	13479876	1.6	93.3
3135	13479876	1.6	93.3
3195	13479876	1.6	93.3
3255	13479876	1.6	93.3
3315	13479876	1.6	93.3
3376	13479876	1.6	93.3
3436	13479876	1.6	93.2
3496	13479876	1.6	93.2
3556	13479876	1.6	93.2
3616	13479876	1.6	93.3
3676	13479876	1.6	93.3
3736	13479876	1.6	93.3
3797	13479876	1.6	93.4
3857	13479876	1.6	93.5
3917	13479876	1.6	93.5
3977	13479876	1.6	93.4
4037	13479876	1.6	93.5
4097	13479876	1.6	93.5
4157	13479876	1.6	93.5
4217	13479876	1.6	93.5
4278	13479876	1.6	93.5
4338	13479876	1.6	93.5
4398	13479876	1.6	93.5
4458	13479876	1.6	93.5
